Price;Zipcode;Accommodates;Bathrooms;Bedrooms;Beds;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Thumbnail Url
42.0;28039;3;1.0;1.0;1.0;150.0;6.0;1;0;2;1125;5;https://a0.muscache.com/im/pictures/bb7c7883-9a24-4b30-8178-faad979e8ded.jpg?aki_policy=small
60.0;28004;4;1.0;1.0;2.0;150.0;25.0;2;0;2;1125;6;https://a0.muscache.com/im/pictures/48611716/cc11d861_original.jpg?aki_policy=small
52.0;28014;2;1.0;1.0;1.0;150.0;22.0;1;0;3;1125;8;https://a0.muscache.com/im/pictures/84bd9e22-490e-4d07-a3b8-07cb103ebc4d.jpg?aki_policy=small
49.0;28003;4;1.0;1.0;1.0;150.0;30.0;1;0;5;1125;2;https://a0.muscache.com/im/pictures/83e82965-0f98-4d15-a493-aba9a37a1917.jpg?aki_policy=small
30.0;28016;2;1.0;0.0;2.0;100.0;40.0;1;0;5;35;2;https://a0.muscache.com/im/pictures/2255df58-ed55-4bcd-81a3-05143238fcd2.jpg?aki_policy=small
299.0;28014;7;4.0;4.0;5.0;150.0;103.0;1;0;3;1125;6;https://a0.muscache.com/im/pictures/b2ef2a58-b6a2-44a7-adec-ad28309d5ff2.jpg?aki_policy=small
120.0;28028;4;1.5;2.0;2.0;300.0;25.0;1;0;1;1125;0;https://a0.muscache.com/im/pictures/88151636/12c13051_original.jpg?aki_policy=small
42.0;28015;2;1.0;0.0;1.0;150.0;12.0;1;0;21;1125;50;https://a0.muscache.com/im/pictures/e007ad47-0667-4be8-a259-aaebfcf683ed.jpg?aki_policy=small
80.0;28020;6;1.0;2.0;5.0;150.0;35.0;4;20;3;1125;17;https://a0.muscache.com/im/pictures/2e4e05f4-ae4b-4afa-8e16-ef62dea0f0a3.jpg?aki_policy=small
40.0;28012;2;1.0;1.0;1.0;150.0;10.0;1;5;2;1125;1;https://a0.muscache.com/im/pictures/1c37e78d-8768-4bc9-9c7d-89a7feceb348.jpg?aki_policy=small
65.0;28014;4;1.0;0.0;2.0;150.0;20.0;2;15;3;1125;63;https://a0.muscache.com/im/pictures/ca638ac1-542b-4672-b973-db2225dc1b42.jpg?aki_policy=small
186.0;28010;8;2.0;2.0;2.0;96.0;30.0;4;15;1;1125;3;https://a0.muscache.com/im/pictures/639fa195-8fee-4c80-8746-27808a508806.jpg?aki_policy=small
20.0;28011;2;1.0;1.0;1.0;150.0;5.0;2;20;2;1125;146;https://a0.muscache.com/im/pictures/7333535/bfcb9b9d_original.jpg?aki_policy=small
60.0;28012;2;1.0;1.0;2.0;150.0;25.0;1;0;2;1125;19;https://a0.muscache.com/im/pictures/6b98a62f-fd26-491c-bf1e-e86c07e00bdd.jpg?aki_policy=small
